Serial Number,Chinese Full Name,English Name,Geological time,Other names,Notes,location,location,location,location,location,location,location,location,location,location,location,location,location,location,location,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
130004,大山沟(岩)组,Dashangou Fm,Ar3,,,shandong,,,,,,,,,,,,,,,浅粒岩,二长浅粒岩,变粒岩,角闪变粒岩,黑云斜长变粒岩,二长变粒岩,角闪岩,斜长角闪岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130005,大营子(岩)组,Dayingzi Fm,Ar3,,,liaoning,,,,,,,,,,,,,,,片岩,片麻岩,角闪片岩,黑云角闪片岩,斜长片麻岩,黑云斜长片麻岩,角闪斜长片麻岩,铁英岩,浅粒岩,变粒岩,角闪岩,斜长角闪岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130006,登封(岩)群,Dengfeng Gr,Ar3,,,henan,,,,,,,,,,,,,,,闪长岩,玢岩,花岗岩,伟晶岩,铁质岩,片岩,片麻岩,千枚岩,钙质绿泥片岩,角闪片岩,斜长角闪片岩,钠长角闪片岩,绿片岩,石英片岩,斜长片麻岩,黑云斜长片麻岩,石英岩,铁英岩,浅粒岩,变粒岩,黑云变粒岩,角闪变粒岩,角闪岩,斜长角闪岩,大理岩,混合岩,均质混合岩,,,,,,,,,,,,,,,,,,,,,,,,,
130007,东冲河杂岩,Dongchonghe Complex,Ar3,杨波群(杂岩)、黄陵杂岩、龙头坪群、三阳群、坦荡河群等，有的相当其一部分，或部分相当,,hubei,,,,,,,,,,,,,,,花岗岩,凝灰岩,沉凝灰岩,碳酸盐岩,片岩,片麻岩,斜长片麻岩,黑云斜长片麻岩,石英岩,变粒岩,黑云斜长变粒岩,角闪岩,斜长角闪岩,混合岩,均质混合岩,混合花岗岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130008,东水沟(岩)组,Dongshuigou Fm,Ar3,周家沟组、宁家湾组二段,,shanxi,,,,,,,,,,,,,,,片岩,片麻岩,石英岩,磁铁石英岩,变粒岩,黑云变粒岩,角闪岩,斜长角闪岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130009,杜家沟组,Dujiagou Fm,Ar3,,,shanxi,,,,,,,,,,,,,,,石英斑岩,流纹岩,变流纹岩,片岩,片麻岩,花岗片麻岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130010,高繁亚群,Gaofan SubGr,Ar3,上苑亚群,,shanxi,,,,,,,,,,,,,,,凝灰岩,砂岩,粉砂岩,片岩,千枚岩,绿片岩,石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130011,郭家窑组,Guojiayao Fm,Ar3,,,henan,,,,,,,,,,,,,,,片岩,片麻岩,角闪片岩,斜长角闪片岩,石英片岩,斜长片麻岩,黑云斜长片麻岩,浅粒岩,变粒岩,黑云变粒岩,角闪变粒岩,角闪岩,斜长角闪岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130012,横岭关群,Henglingguan Gr,Ar3,上玉坡（片岩）组,,shanxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130013,红透山(岩)组,Hongtoushan Fm,Ar3,红透山段,,liaoning,jilin,,,,,,,,,,,,,,片岩,石英岩,磁铁石英岩,浅粒岩,黑云浅粒岩,变粒岩,黑云变粒岩,角闪变粒岩,角闪岩,斜长角闪岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
