Serial Number,Chinese Full Name,English Name,Geological time,Other names,Notes,location,location,location,location,location,location,location,location,location,location,location,location,location,location,location,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
220101,寺垴段,Sinao Mem,Pt2,松林村组,,shanxi,,,,,,,,,,,,,,,砂岩,石英岩状砂岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220102,松林坪组,Songlinping Fm,Pt2,,,sichuan,,,,,,,,,,,,,,,砾岩,砂岩,变质砂岩,千枚岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220103,送子园组,Songziyuan Fm,Pt2,,,hubei,,,,,,,,,,,,,,,砂岩,细砂岩,石英砂岩,粉砂岩,含碳质粉砂岩,白云岩,叠层石白云岩,泥质白云岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220104,苏家河(岩)群,Sujiaheyan Gr,Pt2,,,hubei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220105,塔耳岗(岩)组,Taergang Fm,Pt2,,,hubei,,,,,,,,,,,,,,,片岩,片麻岩,钠长阳起片岩,角闪片岩,钠长角闪片岩,石英片岩,浅粒岩,钠长浅粒岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220106,台子组,Taizi Fm,Pt2,韩家洼组,,hubei,,,,,,,,,,,,,,,火山角砾岩,凝灰角砾岩,凝灰岩,碎屑岩,砂岩,石英砂岩,碳酸盐岩,白云质灰岩,瘤状灰岩,板岩,粉砂质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220107,淌塘组,Tangtang Fm,Pt2,双水井组、滥坝组、大营盘群、小罗田组,,sichuan,,,,,,,,,,,,,,,碎屑岩,砾岩,砂岩,粉砂岩,白云岩,板岩,千枚岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220108,桃子坝组,Taoziba Fm,Pt2,花椒坪组、花椒寨组、金口河组、冷竹坪组,本组隶属峨边群,sichuan,yunnan,,,,,,,,,,,,,,玄武岩,集块岩,安山质集块岩,火山角砾岩,玄武质火山角砾岩,凝灰岩,英安质凝灰岩,白云岩,燧石,变玄武岩,板岩,灰色板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220109,淘金河组,Taojinhe Fm,Pt2,,,guizhou,,,,,,,,,,,,,,,辉绿岩,辉长辉绿岩,凝灰岩,砂岩,粉砂岩,板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220110,套掌段,Taozhang Mem,Pt2,,,shanxi,,,,,,,,,,,,,,,页岩,白云岩,燧石,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220112,天台山(岩)组,Tiantaishan Fm,Pt2,卡房组、新县组,本组也称为天台山组,hubei,,,,,,,,,,,,,,,片岩,片麻岩,角闪片岩,绿帘角闪片岩,钠长角闪片岩,石英片岩,浅粒岩,钠长浅粒岩,变粒岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220113,田里(岩)组,Tianli Fm,Pt2,诸家组、翁家岭片岩,赣东北地质大队(1977)称此变质岩为“双桥山群”,jiangxi,,,,,,,,,,,,,,,片岩,云母片岩,石墨片岩,白云母片岩,石英片岩,白云母石英片岩,石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220114,铁沙街(岩)组,Tieshajie Fm,Pt2,神山群,,jiangxi,,,,,,,,,,,,,,,细碧岩,角斑岩,砂岩,杂砂岩,岩屑杂砂岩,粉砂岩,千枚岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220115,铜厂组,Tongchang Fm,Pt2,,,guizhou,,,,,,,,,,,,,,,凝灰岩,砂岩,粉砂岩,板岩,千枚岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220116,童子崖段,Tongziya Mem,Pt2,,,shanxi,,,,,,,,,,,,,,,页岩,黑色页岩,白云岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220117,洼溪组,Waxi Fm,Pt2,,,guizhou,,,,,,,,,,,,,,,凝灰岩,砂岩,粉砂岩,板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220118,瓦钢溪组,Wagangxi Fm,Pt2,,,hubei,,,,,,,,,,,,,,,砂岩,粉砂岩,白云岩,叠层石白云岩,泥质白云岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220119,魏家沟(岩)群,Weijiagou Gr,Pt2,迟家杖子(岩)组、巴林桥组,,liaoning,,,,,,,,,,,,,,,片岩,千枚岩,石英岩,浅粒岩,变粒岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220120,温水河组,Wenshuihe Fm,Pt2,,,hubei,,,,,,,,,,,,,,,玄武岩,凝灰岩,层状凝灰岩,砾岩,砂岩,粉砂岩,石灰岩,叠层石灰岩,白云质灰岩,泥质灰岩,白云岩,叠层石白云岩,泥质白云岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220121,文通组,Wentong Fm,Pt2,,隶属于四堡群,guangxi,,,,,,,,,,,,,,,细碧岩,角斑岩,熔凝灰岩,火山角砾岩,碎屑岩,砂岩,粉砂岩,变质砂岩,板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220122,武当(岩)群,Wudang Gr,Pt2,郧西群、两郧群,由姚坪(岩)组、杨坪(岩)组构成复合层型二者的上、下关系尚有不同意见，待研究,hubei,shaanxi,,,,,,,,,,,,,,凝灰岩,凝灰质砾岩,砂岩,石英砂岩,粉砂岩,粘土,粘土岩,变火山岩,变凝灰岩,片岩,浅粒岩,钠长浅粒岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220123,下河图组,Xiahetu Fm,Pt2,,,zhejiang,,,,,,,,,,,,,,,闪长岩,石灰岩,片岩,片麻岩,石英片岩,石英岩,浅粒岩,角闪岩,斜长角闪岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220124,下吴宅组,Xiawuzhai Fm,Pt2,,,zhejiang,,,,,,,,,,,,,,,闪长岩,石灰岩,片岩,片麻岩,变粒岩,角闪变粒岩,角闪斜长变粒岩,二长变粒岩,角闪岩,斜长角闪岩,混合岩,条痕状混合岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220125,小河口组,Xiaohekou Fm,Pt2,茂鹿组、力马河组、大营盘组,属昆阳群,yunnan,,,,,,,,,,,,,,,砾岩,角砾岩,铁质角砾岩,砂岩,石英砂岩,铁质砂岩,板岩,灰色板岩,石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220126,小木坪组,Xiaomuping Fm,Pt2,,,hubei,hunan,,,,,,,,,,,,,,砂岩,杂砂岩,岩屑杂砂岩,板岩,粉砂质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220127,小坪组,Xiaoping Fm,Pt2,,,sichuan,,,,,,,,,,,,,,,凝灰质细砾岩,砂岩,变质砂岩,板岩,砂质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220128,小以村(岩)组,Xiaoyicun Fm,Pt2,小溪村组、中岩组,小以村为小溪村之误,hubei,,,,,,,,,,,,,,,盐岩,片岩,片麻岩,石英片岩,斜长片麻岩,黑云斜长片麻岩,石墨黑云斜长片麻岩,石英岩,角闪岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220129,肖家河组,Xiaojiahe Fm,Pt2,,,guizhou,,,,,,,,,,,,,,,辉石岩,橄榄辉石岩,辉绿岩,细碧岩,角斑岩,砂岩,粉砂岩,变质基性岩,板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220130,谢湾(岩)组,Xiewan Fm,Pt2,叫河组、汤峪组、水晶河组,隶属宽坪(岩)群,henan,shaanxi,,,,,,,,,,,,,,碳酸盐岩,片岩,钙质片岩,角闪片岩,斜长角闪片岩,石英片岩,长石石英片岩,云母石英片岩,大理岩,石英大理岩,含石英大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220131,新安组,Xinan Fm,Pt2,,,guangdong,,,,,,,,,,,,,,,砂岩,石英砂岩,泥质砂岩,粉砂岩,页岩,砂质页岩,粉砂质页岩,板岩,硅质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220132,修水组,Xiushui Fm,Pt2,新民组、石城组、乌石尖组、诸家组、观音阁组,,jiangxi,,,,,,,,,,,,,,,凝灰质砂岩,砾岩,含砾砂岩,板岩,凝灰质板岩,粉砂质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220133,徐岸组,Xuan Fm,Pt2,,,zhejiang,,,,,,,,,,,,,,,片麻岩,斜长片麻岩,角闪斜长片麻岩,石英岩,变粒岩,混合岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220134,岩山组,Yanshan Fm,Pt2,,,zhejiang,,,,,,,,,,,,,,,凝灰角砾岩,凝灰岩,凝灰质砂岩,凝灰质粉砂岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220135,盐边群,Yanbian Gr,Pt2,,,sichuan,,,,,,,,,,,,,,,玄武岩,凝灰岩,凝灰质砾岩,碎屑岩,角砾岩,砂岩,白云质灰岩,结晶灰岩,变质砂岩,板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220136,杨坪(岩)组,Yangping Fm,Pt2,,,hubei,shaanxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220137,尧等组,Yaodeng Fm,Pt2,,,guizhou,,,,,,,,,,,,,,,砂岩,片岩,千枚岩,石英片岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220138,姚营寨组,Yaoyingzhai Fm,Pt2,,,henan,,,,,,,,,,,,,,,凝灰岩,砾岩,砂岩,长石砂岩,片岩,千枚岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220139,野马河组,Yemahe Fm,Pt2,罗汉岭组,,hubei,,,,,,,,,,,,,,,砂岩,石英砂岩,粉砂岩,白云岩,叠层石白云岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220140,宜丰(岩)组,Yifeng Fm,Pt2,西江组,,jiangxi,,,,,,,,,,,,,,,辉绿岩,细碧岩,角斑岩,石英角斑岩,变细碧岩,片岩,板岩,千枚岩,云母片岩,石英片岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220141,因民组,Yinmin Fm,Pt2,,属昆阳群,sichuan,yunnan,,,,,,,,,,,,,,砾岩,砂岩,石英砂岩,粉砂岩,白云岩,含砂质白云岩,泥质白云岩,板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220142,鹰窝洞组,Yingwodong Fm,Pt2,,,hubei,,,,,,,,,,,,,,,砂岩,粉砂岩,瘤状灰岩,白云岩,细晶白云岩,碎屑白云岩,泥质白云岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220143,余家沟组,Yu jiagou Fm,Pt2,,隶属于梵净山群,shanxi,guizhou,,,,,,,,,,,,,,辉绿岩,砾岩,砂岩,细砂岩,粉砂岩,变质砾岩,变辉绿岩,板岩,千枚状板岩,千枚岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220144,鱼西组,Yuxi Fm,Pt2,九小组,隶属于四堡群,guangxi,,,,,,,,,,,,,,,闪长岩,花岗闪长岩,凝灰岩,砂岩,石英砂岩,长石石英砂岩,钙质砂岩,粉砂岩,变质砂岩,板岩,千枚岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220145,渔门组,Yumen Fm,Pt2,田坝组,,sichuan,,,,,,,,,,,,,,,碎屑岩,砂质灰岩,结晶灰岩,泥灰岩,板岩,硅质板岩,凝灰质板岩,砂质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220146,云台(岩)组,Yuntai Fm,Pt2,,,jiangsu,,,,,,,,,,,,,,,片岩,石英片岩,石英岩,浅粒岩,二长浅粒岩,变粒岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220147,则姑组,Zegu Fm,Pt2,,,sichuan,,,,,,,,,,,,,,,流纹岩,英安岩,凝灰岩,砾岩,砂岩,粉砂岩,变流纹岩,千枚岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220148,乍古组,Zhagu Fm,Pt2,,,sichuan,,,,,,,,,,,,,,,凝灰质砾岩,砂岩,粉砂岩,白云质灰岩,板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220149,寨根(岩)组,Zhaigen Fm,Pt2,,隶属峡河(岩)群在陕西其时代可能延至晚元古代,henan,shaanxi,,,,,,,,,,,,,,片岩,角闪片岩,斜长角闪片岩,石英片岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220150,张村群,Zhangcun Gr,Pt2,,,jiangxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220151,章村组,Zhangcun Fm,Pt2,,,zhejiang,,,,,,,,,,,,,,,熔凝灰岩,砂岩,次生石英岩,千枚岩,石英千枚岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220152,樟前(岩)组,Zhangqian Fm,Pt2,庄前片岩、溪口群,有人认为，归属上溪(岩)群。本(岩)组层序、界线清楚，应称为樟前组,anhui,,,,,,,,,,,,,,,片岩,千枚岩,绢云绿泥千枚岩,石英片岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220153,照北山(岩)组,Zhaobeishan Fm,Pt2,偏岭沟(岩)组、富拉堡子(岩)组,,liaoning,,,,,,,,,,,,,,,片岩,石英片岩,变粒岩,大理岩,石墨大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220154,周渣组,Zhouzha Fm,Pt2,,,jiangxi,,,,,,,,,,,,,,,片岩,片麻岩,斜长片麻岩,黑云斜长片麻岩,变粒岩,黑云斜长变粒岩,角闪岩,斜长角闪岩,混合岩,条痕状混合岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220155,黄岭(岩)组,Huangling Fm,Pt2(Ch),,隶属于高州(岩)群，为其最下部,guangdong,,,,,,,,,,,,,,,片岩,石英片岩,云母石英片岩,石英岩,云母石英岩,角闪岩,麻粒岩,大理岩,混合岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210001,阿龙组,Along Fm,Pt1,苍山群、瑶山群,,yunnan,,,,,,,,,,,,,,,辉石岩,透辉石岩,辉长岩,辉绿岩,花岗岩,伟晶岩,变辉绿岩,片岩,片麻岩,角闪片岩,斜长角闪片岩,绿片岩,黑云二长片麻岩,矽线黑云片麻岩,斜长片麻岩,黑云斜长片麻岩,角闪斜长片麻岩,石榴黑云斜长片麻岩,石榴角闪斜长片麻岩,变粒岩,角闪斜长变粒岩,黑云斜长变粒岩,角闪岩,斜长角闪岩,石榴斜长角闪岩,大理岩,金云母大理岩,混合岩,均质混合岩,混合花岗岩,,,,,,,,,,,,,,,,,,,,,,
210002,安吉村段,Anjicun Mem,Pt1,,,shandong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210003,八都(岩)群,Badu Gr,Pt1,龙泉变质杂岩、陈蔡群,,zhejiang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210004,白龙山组,Bailongshan Fm,Pt1,,属野鸡山群,shanxi,,,,,,,,,,,,,,,长石石英岩,片岩,角闪片岩,变粒岩,黑云变粒岩,角闪变粒岩,角闪岩,斜长角闪岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210005,白云山(岩)组,Baiyunshan Fm,Pt1,,属凤阳(岩)群最下一个(岩)组,anhui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210006,板房沟(岩)组,Banfanggou Fm,Pt1,石青沟组、判甲炉组、达台山组、老岭组等,隶属于老岭(岩)群,jilin,,,,,,,,,,,,,,,片岩,板岩,碳质板岩,千枚岩,变粒岩,黑云变粒岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210007,北大兴组,Beidaxing Fm,Pt1,,,shanxi,,,,,,,,,,,,,,,白云岩,燧石,板岩,绿色板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210008,北将军(岩)组,Beijiangjun Fm,Pt1,,,anhui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210009,北崖山组,Beiyashan Fm,Pt1,白岩山组,北崖山乃白岩山地名之误，因北崖山组沿用已久，不再更名,henan,,,,,,,,,,,,,,,砾岩,砂岩,石英砂岩,长石石英砂岩,变质砾岩,片岩,石英岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210010,悖罗台组,Beiluotai Fm,Pt1,,,hebei,,,,,,,,,,,,,,,石英岩,磁铁石英岩,变粒岩,角闪黑云斜长变粒岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210011,篦子沟组,Bizigou Fm,Pt1,刘庄冶片岩,,shanxi,,,,,,,,,,,,,,,片岩,石英片岩,石英岩,角闪岩,斜长角闪岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210012,兵营组,Bingying Fm,Pt1,,,shandong,,,,,,,,,,,,,,,砾岩,砂岩,页岩,砂质页岩,粉砂质页岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210013,长冲(岩)组,Changchong Fm,Pt1,,,sichuan,,,,,,,,,,,,,,,钠长岩,片岩,石英钠长岩,板岩,碳质板岩,角闪片岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210014,炒铁河组,Chaotiehe Fm,Pt1,,,liaoning,,,,,,,,,,,,,,,片岩,石英岩,浅粒岩,黑云浅粒岩,变粒岩,黑云变粒岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210015,陈家山组,Chenjiashan Fm,Pt1,,,shanxi,henan,,,,,,,,,,,,,,片岩,石英片岩,石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210016,程道沟组,Chengdaogou Fm,Pt1,,,shanxi,,,,,,,,,,,,,,,砂岩,石英砂岩,粉砂岩,千枚岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210017,赤山沟组,Chishangou Fm,Pt1,龙峪片岩组,,henan,,,,,,,,,,,,,,,砂岩,石英砂岩,片岩,板岩,石英岩,磁铁石英岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210018,茨榆山组,Ciyushan Fm,Pt1,,,hebei,,,,,,,,,,,,,,,片岩,石英岩,磁铁石英岩,变粒岩,角闪黑云斜长变粒岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210019,达肯大坂(岩)群,Dakendaban Gr,Pt1,安南坝群、沙柳河群,近年李怀坤、陆招年(1998)等认为该群应为杂岩，改称达肯大坂杂岩，并在其中获得奥长花岗岩的锆石U-Pb年龄为1 020±41Ma，将时代定为晚元古代(早期),qinghai,,,,,,,,,,,,,,,花岗岩,片岩,片麻岩,角闪岩,大理岩,混合岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210020,大别山(岩)群,Dabieshan Gr,Pt1,,本名称原为大别山杂岩,anhui,hubei,,,,,,,,,,,,,,片岩,片麻岩,石墨片岩,闪长质片麻岩,二长片麻岩,斜长片麻岩,黑云斜长片麻岩,石英岩,磁铁石英岩,浅粒岩,变粒岩,角闪岩,斜长角闪岩,大理岩,混合岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210021,大东岔(岩)组,Dadongcha Fm,Pt1,三道葳子组,,jilin,,,,,,,,,,,,,,,长石石英岩,片岩,片麻岩,斜长片麻岩,变粒岩,黑云变粒岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210022,大古石组,Dagushi Fm,Pt1,磨石沟组,大古石乃大鼓石之误，因大古石组已广泛引用，不再更改,shanxi,henan,,,,,,,,,,,,,,砾岩,砂岩,石英砂岩,长石石英砂岩,页岩,片岩,石英片岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210024,大红山群,Dahongshan Gr,Pt1,康定(岩)群、苴林群(原“元谋群”)等,原称为大红山群，1998年云南1∶50万数字地质图编图组改称为大红山(岩)群,yunnan,,,,,,,,,,,,,,,辉绿岩,辉长辉绿岩,角斑岩,钠长岩,钠长斑岩,火山角砾岩,砂岩,粉砂岩,泥质粉砂岩,泥岩,片岩,板岩,云母片岩,角闪绿泥片岩,角闪片岩,绿泥角闪片岩,黑云角闪片岩,钠长角闪片岩,绿片岩,角闪黑云片岩,石英片岩,石英岩,浅粒岩,钠长浅粒岩,大理岩,白云石大理岩,白云质大理岩,,,,,,,,,,,,,,,,,,,,,,,,,
210025,大栗子(岩)组,Dalizi Fm,Pt1,花山组、当石沟组、干沟组、太平沟组、北大楼组,本组隶属于集安(岩)群,jilin,,,,,,,,,,,,,,,片岩,千枚岩,大理岩,白云质大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210026,大石桥组,Dashiqiao Fm,Pt1,珍珠门组、辽阳群,,liaoning,,,,,,,,,,,,,,,碳酸盐岩,白云岩,片岩,云母片岩,变粒岩,大理岩,条带状大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210027,大石桥组(岩)组,Dashiqiao Fm(Fm),Pt1,,本组最初测制的剖面为长春地院1958年所测大石桥菱镁矿北山(洛山-枣儿岭)剖面。选层型为1∶50万辽宁数字地质图编图组1997年选定。本组隶属于辽河(岩)群,liaoning,jilin,,,,,,,,,,,,,,碳酸盐岩,白云岩,片岩,云母片岩,变粒岩,大理岩,条带状大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210028,大同营组,Datongying Fm,Pt1,凤凰嘴组,,hebei,,,,,,,,,,,,,,,片麻岩,斜长片麻岩,黑云斜长片麻岩,角闪黑云斜长片麻岩,变粒岩,角闪黑云斜长变粒岩,角闪岩,斜长角闪岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210029,大岩山(岩)组,Dayanshan Fm,Pt1,,,zhejiang,,,,,,,,,,,,,,,片岩,片麻岩,石英片岩,斜长片麻岩,黑云斜长片麻岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210030,大营山(岩)组,Dayingshan Fm,Pt1,,,yunnan,,,,,,,,,,,,,,,钠长岩,砂岩,片岩,石英钠长岩,石英片岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210031,担山石群,Danshanshi Gr,Pt1,东峰山群大古石组(河南),本群曾称为担山石石英岩(马杏垣，1952),shanxi,henan,,,,,,,,,,,,,,安山岩,碎屑岩,砾岩,砂岩,粉砂岩,变质砾岩,变火山岩,片岩,板岩,绿片岩,石英岩,大理岩,白云石大理岩,白云质大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210032,道砖窑组,Daozhuanyao Fm,Pt1,,,shanxi,,,,,,,,,,,,,,,长石石英岩,片岩,阳起石片岩,角闪石片岩,石英片岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210033,德玛拉(岩)群,Demala Gr,Pt1,,,Tibet,,,,,,,,,,,,,,,片岩,片麻岩,变粒岩,角闪岩,斜长角闪岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210034,点苍山(岩)群,Diancangshan Gr,Pt1,,本岩群源于布朗(1916年)之“点苍山变质岩系”。1∶5万大理、下关凤仪等幅区调报告，将该变质岩系解体为沟头箐(岩)群和苍山(岩)群；1998年1∶50万数字地质图编图组按命名优先原则将沟头箐(岩)群改称点苍山(岩)群,yunnan,,,,,,,,,,,,,,,片岩,变粒岩,角闪变粒岩,黑云角闪变粒岩,黑云斜长变粒岩,角闪岩,斜长角闪岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210035,雕王山组,Diaowangshan Fm,Pt1,,正层型剖面1969年区调队测制，1980年白瑾、徐朝雷补充,shanxi,,,,,,,,,,,,,,,砾岩,白云岩,变质砾岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210036,定国寺段,Dingguosi Mem,Pt1,,属野头组,shandong,,,,,,,,,,,,,,,角闪岩,斜长角闪岩,大理岩,白云石大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210037,东岔沟组,Dongchagou Fm,Pt1,,,qinghai,,,,,,,,,,,,,,,碎屑岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
